"";"p_sr";"p_mr";"p_pr";"p_dt";"p_rf"
"1";82,4744760419601;82,0715998635387;81,8658292867539;81,875;82,1666666666667
"2";73,1281077887808;75,7673331575944;73,7701051454081;72,1363636363636;73,45
"3";82,2451093316356;81,9256269114238;81,7403716187379;81,875;81,7916666666667
"4";75,0430357965611;76,6299506848853;75,8598228401334;76,7931034482759;77,4
"5";79,8584817676393;80,0506598755035;80,1887812996934;81,875;81,5
"6";83,288273109101;82,2334385644565;82,275573650554;81,875;82,5666666666667
"7";78,7243090113356;79,3288526646322;79,3038136338875;76,7931034482759;77,8333333333333
"8";71,9848493625933;70,0546815527796;72,4406536034426;72,1363636363636;76,5
"9";69,3480434467764;69,4448001369151;69,1783405095096;72,1363636363636;66,5
"10";80,7766271089793;81,7032110894565;80,8373430817069;81,875;78,5
"11";81,5265788462897;82,1804933807014;81,3197543735716;81,875;82,625
"12";75,2233595221196;73,1839531766614;76,0469594907447;76,7931034482759;75,8
"13";66,3357750339235;66,4595126840878;65,1925769512593;64,5;64,3333333333333
"14";75,2377022717046;74,6173846129617;76,0617689825176;76,7931034482759;75,8
"15";84,5219413498732;83,0185664270885;82,7876745169441;81,875;83,0666666666667
"16";80,5955996473898;81,9440779389663;80,7144366957133;81,875;82,5
"17";75,8774747246611;77,1610020895206;76,7108679992261;76,7931034482759;75,8
"18";78,0615102697424;78,9070360512642;78,74588622593;76,7931034482759;77,8333333333333
"19";71,5961663935305;73,0119997596498;71,9760776741621;72,1363636363636;74,5
"20";83,5013860887042;82,0129914950358;82,3735738485449;81,875;82,5666666666667
