LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Cпоживчий кредит без довiдки про доходи;6224,07;Харків;Жінка;В громадянскому шлюбі;31;Середня - технічна;інша;3750;2;Ні;Офіційно працевлаштований;364;рак;Свинья;45; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;16816,14;Харків;Жінка;Неодружений(-на);3;Середня;торгівля та послуги;4450;5;Так;Офіційно працевлаштований;1095;весы;Собака;22; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;15560,17;Полтавська область;Жінка;Розлучений (-на);20;Вища освіта;торгівля та послуги;8000;0;Ні;ФОП;364;телец;Дракон;41; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5605,38;Харків;Чоловік;Одружений (-на);29;Середня - технічна;інша;2150;1;Так;Не працює;1095;телец;Свинья;45; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;16816,14;Харків;Чоловік;Одружений (-на);30;Середня - технічна;торгівля та послуги;6000;2;Ні;Офіційно працевлаштований;1095;лев;Тигр;54; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10775,86;Полтавська область;Жінка;Вдова (-ець);30;Середня - технічна;інша;3500;1;Так;Офіційно працевлаштований;729;рак;Коза;49; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;16816,14;Харків;Жінка;Одружений (-на);5;Середня - технічна;торгівля та послуги;6380;2;Так;Офіційно працевлаштований;1095;рак;Собака;22; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;11210,76;Харків;Чоловік;Розлучений (-на);21;Середня - технічна;інша;4000;2;Так;Офіційно працевлаштований;1092;скорпион;Бык;43; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;3112,03;Харків;Жінка;Одружений (-на);25;Середня - технічна;виробництво;7000;6;Так;Офіційно працевлаштований;364;водолей;Петух;48; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;12448,13;Донецька область;Жінка;Розлучений (-на);24;Середня - технічна;виробництво;6287,22;3;Ні;Офіційно працевлаштований;364;козерог;Кролик;41; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;16816,14;Житомирська область;Чоловік;Одружений (-на);23;Середня;виробництво;6000;1;Так;Офіційно працевлаштований;1095;козерог;Крыса;44; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;1556,02;Львівська область;Чоловік;Неодружений(-на);1;Вища освіта;торгівля та послуги;4500;0;Так;Офіційно працевлаштований;183;водолей;Петух;24; не змінювалось місце роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;13452,91;Харків;Чоловік;Одружений (-на);19;Вища освіта;інша;7000;3;Так;ФОП;1095;весы;Обезьяна;36; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;11210,76;Полтавська область;Жінка;Неодружений(-на);28;Середня - технічна;інша;5200;2;Так;Офіційно працевлаштований;1095;рак;Тигр;54; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;11210,76;Сумська область;Жінка;Вдова (-ець);38;Середня - технічна;фінансова;10200;5;Ні;Офіційно працевлаштований;1095;рак;Змея;63; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;15695,07;Черкаська область;Чоловік;Одружений (-на);19;Вища освіта;фінансова;11000;5;Так;Офіційно працевлаштований;1095;козерог;Змея;39; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;4310,34;Сумська область;Чоловік;Одружений (-на);36;Вища освіта;виробництво;6000;7;Так;Офіційно працевлаштований;729;рыбы;Тигр;55; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10775,86;Чернігівська область;Жінка;Одружений (-на);21;Середня - технічна;торгівля та послуги;4500;7;Так;Офіційно працевлаштований;729;водолей;Лошадь;39; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;4310,34;Харківська область;Жінка;Неодружений(-на);20;Середня - технічна;інша;4000;3;Так;Офіційно працевлаштований;729;рак;Крыса;44; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;16816,14;Запорізька область;Чоловік;Розлучений (-на);23;Вища освіта;інша;10000;6;Так;Офіційно працевлаштований;1094;телец;Петух;48; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;16816,14;Полтавська область;Жінка;Неодружений(-на);17;Середня - технічна;торгівля та послуги;5800;6;Так;Офіційно працевлаштований;1094;скорпион;Свинья;45; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;3112,03;Сумська область;Чоловік;Неодружений(-на);10;Незакінчена середня;с/господарство;4500;1;Ні;Офіційно працевлаштований;183;стрелец;Петух;47; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;10373,44;Черкаська область;Чоловік;Одружений (-на);20;Вища освіта;інша;9900;4;Ні;Офіційно працевлаштований;364;овен;Тигр;43; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;11210,76;Черкаська область;Чоловік;Розлучений (-на);17;Середня - технічна;торгівля та послуги;4800;6;Так;Офіційно працевлаштований;1094;телец;Кролик;54; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;16163,79;Черкаська область;Жінка;Одружений (-на);13;Середня - технічна;інша;7000;4;Так;Офіційно працевлаштований;729;лев;Крыса;32; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;5605,38;Полтавська область;Жінка;Неодружений(-на);1;Середня - технічна;інша;4800;1;Так;Офіційно працевлаштований;1093;телец;Крыса;21; не змінювалось місце роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;3112,03;Черкаська область;Жінка;Одружений (-на);35;Середня - технічна;інша;10000;11;Так;Офіційно працевлаштований;364;стрелец;Тигр;66; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;4149,38;Харківська область;Жінка;Одружений (-на);35;Середня;інша;2450;0;Ні;Офіційно працевлаштований;183;скорпион;Крыса;68; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;16816,14;Харківська область;Чоловік;Одружений (-на);21;Вища освіта;виробництво;6000;1;Так;Офіційно працевлаштований;1093;рак;Дракон;40; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10373,44;Київ;Чоловік;Неодружений(-на);7;Вища освіта;інша;15000;1;Ні;Офіційно працевлаштований;183;овен;Кролик;30; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10775,86;Харків;Жінка;Неодружений(-на);30;Середня - технічна;торгівля та послуги;7000;14;Так;Офіційно працевлаштований;729;овен;Коза;50; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5605,38;Харківська область;Чоловік;Вдова (-ець);40;Середня;інша;2500;1;Ні;Не працює;1093;рыбы;Дракон;65; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;2074,69;Сумська область;Чоловік;Одружений (-на);19;Вища освіта;виробництво;3800;1;Так;Офіційно працевлаштований;227;овен;Змея;40; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
