LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Consumer loan without income certificate;6224,07;Kharkiv;F;В громадянскому шлюбі;31;Середня - технічна;інша;3750;2;Ні;Офіційно працевлаштований;364;рак;Свинья;45; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;16816,14;Kharkiv;F;Неодружений(-на);3;Середня;торгівля та послуги;4450;5;Так;Офіційно працевлаштований;1095;весы;Собака;22; була зміна місця роботи;не має власної нерухомості;не має власного;No
Consumer loan without income certificate;15560,17;Poltava region;F;Розлучений (-на);20;Вища освіта;торгівля та послуги;8000;0;Ні;ФОП;364;телец;Дракон;41; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;5605,38;Kharkiv;M;Одружений (-на);29;Середня - технічна;інша;2150;1;Так;Не працює;1095;телец;Свинья;45; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;16816,14;Kharkiv;M;Одружений (-на);30;Середня - технічна;торгівля та послуги;6000;2;Ні;Офіційно працевлаштований;1095;лев;Тигр;54; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;10775,86;Poltava region;F;Вдова (-ець);30;Середня - технічна;інша;3500;1;Так;Офіційно працевлаштований;729;рак;Коза;49; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;16816,14;Kharkiv;F;Одружений (-на);5;Середня - технічна;торгівля та послуги;6380;2;Так;Офіційно працевлаштований;1095;рак;Собака;22; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;11210,76;Kharkiv;M;Розлучений (-на);21;Середня - технічна;інша;4000;2;Так;Офіційно працевлаштований;1092;скорпион;Бык;43; була зміна місця роботи;не має власної нерухомості;не має власного;No
Consumer loan without income certificate;3112,03;Kharkiv;F;Одружений (-на);25;Середня - технічна;виробництво;7000;6;Так;Офіційно працевлаштований;364;водолей;Петух;48; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;12448,13;Donetsk region;F;Розлучений (-на);24;Середня - технічна;виробництво;6287,22;3;Ні;Офіційно працевлаштований;364;козерог;Кролик;41; була зміна місця роботи;має власну нерухомість;не має власного;No
