CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;DELAY
3750;2;0
4450;5;0
8000;0;0
2150;1;1
6000;2;0
3500;1;1
6380;2;1
4000;2;0
7000;6;1
6287,22;3;0
6000;1;0
4500;0;1
7000;3;1
5200;2;0
10200;5;1
11000;5;1
6000;7;0
4500;7;1
4000;3;0
10000;6;1
5800;6;1
4500;1;1
9900;4;0
4800;6;1
7000;4;1
4800;1;1
10000;11;0
2450;0;0
6000;1;0
15000;1;0
7000;14;0
2500;1;1
3800;1;1
8900;9;0
4100;2;1
7000;4;0
4612;0;0
4200;2;0
11000;6;1
2100;3;0
3580;2;0
7000;1;0
5000;3;0
2500;2;0
2200;3;0
3500;6;0
8000;3;1
7000;3;0
4500;4;0
8000;5;0
3500;3;0
5500;8;0
8600;3;0
2575;3;0
7500;1;0
4200;1;0
2700;2;1
12000;2;1
8000;3;1
3030;1;0
12000;1;0
4000;2;0
6000;2;0
2200;1;1
2123;1;0
3700;2;0
8000;10;1
4500;5;1
10000;3;1
3638,92;1;0
3200;3;1
4200;0;0
5500;3;0
5700;13;1
5200;2;0
5100;1;0
4000;5;1
8000;2;1
15000;9;0
6300;1;0
10000;5;0
13500;3;0
8500;8;1
7000;2;0
6500;2;0
3200;1;0
3800;9;0
7000;1;0
4500;7;1
3200;2;1
4000;5;0
4000;3;0
3500;1;1
6500;5;1
4500;1;1
10000;11;1
5100;3;0
5000;7;1
9000;3;0
7050;1;0
5500;5;0
3400;3;1
5000;1;0
4200;1;0
3600;3;0
8500;11;1
10000;7;0
2000;1;0
5500;1;0
5150;7;0
2300;1;0
4000;5;0
7923,35;6;1
4500;2;0
3500;1;1
4500;2;0
3200;1;0
7200;2;1
5000;2;0
4200;9;0
7000;4;0
5000;5;0
10000;2;1
4800;2;1
5069,95;0;0
2000;1;0
6500;3;1
4700;5;0
4100;2;1
4000;5;1
8000;5;0
10000;13;0
6000;6;1
3600;2;0
5000;4;1
4000;4;1
4200;3;0
15000;6;0
6000;5;1
7500;5;1
7000;1;0
4000;1;0
5000;5;0
6000;4;0
6000;1;0
11200;5;1
7000;0;0
7000;2;0
12000;2;1
4000;0;0
8100;8;1
6000;4;1
24000;0;0
5000;3;1
7500;1;0
5000;5;0
2180;3;0
8000;2;0
6230,31;1;0
6000;5;1
5000;5;1
7200;9;1
5000;2;1
9000;6;1
5100;2;1
6000;2;1
10000;8;1
3000;1;0
8700;15;1
6000;0;1
3600;3;1
3068;1;0
3000;1;0
6700;4;0
4000;1;0
3500;4;0
3200;1;0
2300;3;0
13000;7;0
4500;1;1
7000;12;1
6000;2;0
7000;4;1
2000;1;1
5650;2;1
7200;2;0
8000;4;1
6589,71;4;1
2200;0;0
7537;3;1
6500;2;0
3254,17;3;0
3269,42;2;0
5500;9;1
8000;1;0
6200;1;0
20000;3;0
15000;21;1
6000;1;0
4500;3;1
3800;5;1
6000;5;0
4000;1;0
3500;1;0
9000;2;0
11000;8;0
8300;6;1
3500;0;0
7200;0;0
6000;1;0
10000;4;0
4800;1;0
7000;4;1
10000;3;0
7000;5;1
6500;2;0
4500;1;1
6500;1;0
3200;7;0
11000;2;0
9000;3;0
5500;2;0
7500;5;1
3500;2;1
6400;6;1
4500;2;1
4193,53;1;0
3000;4;1
13192,98;4;0
7000;11;1
7000;5;1
4800;1;1
8300;5;1
4500;9;1
5500;2;1
5000;0;0
6000;2;0
7000;0;0
7000;0;0
5000;7;1
10000;0;1
10000;3;0
5850;6;1
5200;1;0
5000;3;0
7050;2;1
7000;9;0
3500;5;1
3000;2;0
7000;5;1
18000;6;1
8250;4;1
5000;3;0
6500;8;0
6500;10;0
5000;1;0
11000;2;0
5400;4;0
