"";"LOAN_AMOUNT";"BRANCH_REGION";"CLIENT_GENDER";"CLIENT_FAMILYSTATUS";"CLIENT_TOTALEXPERIENCE";"CLIENT_EDUCATION";"CLIENT_ACTIVITYTYPE";"CLIENT_TOGETHER.INCOME";"LOAN_OUTSTANDINGLOANSCOUNT";"LOAN_OVERDUE_EXIST_FLAG";"EMPLOYMENTTYPE";"LOAN.TERM";"ZODIAC";"ZODIAC_CHINA";"AGE";"CHANGE.WORK";"REAL_ESTATE";"CAR";"DELAY"
"1";-0,816784063056105;13;0;0;0,981711665352206;5;3;-0,620472745184333;-0,421641485732825;0;1;-1,25992952737276;7;9;0,318181292741589;0;1;1;1
"2";-0,217224073273859;13;0;3;-1,29541940774592;4;5;-0,542046129115307;0,892855769973374;1;1;0,879690384637608;1;10;-1,41516066203258;0;1;1;1
"3";-0,288317765098668;10;0;5;0,0871244580636551;0;5;-0,14431114762239;-1,29797298953696;0;4;-1,25992952737276;11;1;0,0167305179982552;0;0;1;1
"4";-0,851804769120017;13;1;4;0,819059445845197;5;3;-0,799733581913535;-0,859807237634891;1;0;0,879690384637608;11;9;0,318181292741589;0;0;1;0
"6";-0,559131766017761;10;0;1;0,900385555598701;5;3;-0,648482250923271;-0,859807237634891;1;1;-0,191583059679487;7;3;0,619632067484924;0;0;1;0
"7";-0,217224073273859;13;0;4;-1,13276718823891;5;5;-0,325812744810707;-0,421641485732825;1;1;0,879690384637608;7;10;-1,41516066203258;0;1;1;0
"9";-0,99293987307265;13;0;4;0,493755006831178;5;1;-0,256349170578141;1,33102152187544;1;1;-1,25992952737276;2;8;0,54426937379909;0;0;1;0
"10";-0,464473575115213;2;0;5;0,412428897077674;5;1;-0,336207632580542;0,0165242661692412;0;1;-1,25992952737276;4;4;0,0167305179982552;0;0;1;1
"11";-0,217224073273859;3;1;4;0,331102787324169;4;1;-0,368387193533893;-0,859807237634891;1;1;0,879690384637608;4;5;0,242818599055756;0;0;1;1
"13";-0,407598395236926;13;1;4;0,0057983483101505;0;3;-0,256349170578141;0,0165242661692412;1;4;0,879690384637608;1;7;-0,360082950430913;0;0;1;0
"15";-0,534514421196938;11;0;1;1,55099443362674;5;6;0,102172502880263;0,892855769973374;0;1;0,879690384637608;7;2;1,67470977908659;0;0;1;0
"16";-0,280681803230815;17;1;4;0,0057983483101505;0;6;0,191802921244864;0,892855769973374;1;1;0,879690384637608;4;2;-0,133994869373412;0;0;1;0
"17";-0,925110003051401;11;1;4;1,38834221411973;0;1;-0,368387193533893;1,76918727377751;1;1;-0,191583059679487;8;11;1,07180822959993;0;0;1;1
"18";-0,559131766017761;18;0;4;0,16845056781716;5;5;-0,536444227967519;1,76918727377751;1;1;-0,191583059679487;2;6;-0,133994869373412;0;1;1;0
"19";-0,925110003051401;14;0;3;0,0871244580636551;5;3;-0,592463239445395;0,0165242661692412;1;1;-0,191583059679487;7;5;0,242818599055756;0;1;1;1
"20";-0,217224073273859;4;1;5;0,331102787324169;0;3;0,0797648982891123;1,33102152187544;1;1;0,876763408013791;11;8;0,54426937379909;0;0;1;0
"21";-0,217224073273859;10;0;3;-0,156853871196859;5;5;-0,390794798125043;1,33102152187544;1;1;0,876763408013791;9;9;0,318181292741589;0;0;1;0
"24";-0,534514421196938;17;1;5;-0,156853871196859;5;5;-0,502832821080794;1,33102152187544;1;1;0,876763408013791;11;4;0,996445535914092;0;0;1;0
"25";-0,254150090505094;17;0;4;-0,482158310210877;5;3;-0,256349170578141;0,454690018071308;1;1;-0,191583059679487;5;5;-0,661533725174247;0;0;1;0
"26";-0,851804769120017;10;0;3;-1,45807162725293;5;3;-0,502832821080794;-0,859807237634891;1;1;0,873836431389973;11;5;-1,49052335571842;1;1;1;0
"27";-0,99293987307265;17;0;4;1,30701610436622;5;3;0,0797648982891123;3,27721135774744;1;1;-1,25992952737276;10;11;1,90079786014409;0;0;1;1
"28";-0,934221081051768;14;0;4;1,30701610436622;4;3;-0,766122175026809;-1,29797298953696;0;1;-1,78971229628368;9;5;2,05152324751576;0;0;1;1
"29";-0,217224073273859;14;1;4;0,16845056781716;0;1;-0,368387193533893;-0,859807237634891;1;1;0,873836431389973;7;1;-0,0586321756875784;0;1;1;1
"30";-0,581910593110876;6;1;3;-0,970114968731905;0;3;0,639955013067868;-0,859807237634891;0;1;-1,78971229628368;6;4;-0,812259112545914;0;1;1;1
"32";-0,851804769120017;14;1;1;1,71364665313375;4;3;-0,760520273879022;-0,859807237634891;0;0;0,873836431389973;8;1;1,82543516645826;0;0;1;0
"33";-1,05165809904743;11;1;4;0,0057983483101505;0;1;-0,614870844036545;-0,859807237634891;1;1;-1,66092532483572;6;2;-0,0586321756875784;0;0;1;0
"34";-0,978720795080029;18;0;5;0,412428897077674;5;3;-0,043476926962214;2,64551877758164;1;1;0,873836431389973;2;4;0,996445535914092;0;1;1;1
"35";-0,254150090505094;11;1;4;1,38834221411973;4;3;-0,58125943714982;-0,421641485732825;0;1;-0,194510036303304;3;4;0,921082842228258;0;0;1;0
"36";-0,254150090505094;13;0;5;0,819059445845197;0;2;-0,256349170578141;0,454690018071308;1;1;-0,194510036303304;8;10;0,468906680113257;0;0;1;1
"37";-0,99293987307265;14;1;4;-0,0755277614433541;5;1;-0,523895969396475;-1,29797298953696;0;1;-1,79263927290749;5;11;0,0920932116840887;0;0;0;1
"39";-0,217224073273859;1;1;4;0,737733336091692;5;3;0,191802921244864;1,33102152187544;1;1;0,879690384637608;0;9;0,318181292741589;0;0;1;0
"41";-0,99293987307265;14;1;3;1,95762498239426;4;3;-0,63951920908681;-0,421641485732825;1;0;-1,25992952737276;6;7;1,52398439171493;0;0;1;1
"42";-0,581910593110876;14;1;4;1,30701610436622;4;3;-0,256349170578141;-0,859807237634891;0;1;-1,25992952737276;7;5;1,14717092328576;0;0;1;1
"44";-0,99293987307265;17;0;4;0,331102787324169;5;3;-0,760520273879022;-0,421641485732825;0;1;-1,25992952737276;6;3;1,59934708540076;0;0;1;1
"45";-1,08101721203482;17;0;1;0,493755006831178;5;3;-0,794131680765747;0,0165242661692412;1;1;-1,25992952737276;9;11;1,90079786014409;0;0;1;1
"46";-0,978720795080029;17;0;4;-0,970114968731905;4;4;-0,648482250923271;1,33102152187544;1;1;0,879690384637608;0;6;-1,11370988728925;0;0;1;1
"47";-0,217224073273859;1;0;4;-0,156853871196859;5;2;-0,14431114762239;0,0165242661692412;1;1;0,879690384637608;11;7;-0,284720256745079;1;0;1;0
"48";-0,217224073273859;4;0;1;0,493755006831178;5;2;-0,256349170578141;0,0165242661692412;1;1;0,879690384637608;9;2;0,770357454856591;0;0;1;1
"49";-0,986105998526276;18;0;3;0,737733336091692;5;3;-0,536444227967519;0,454690018071308;1;1;-0,191583059679487;3;4;1,82543516645826;0;1;1;1
"50";-0,742120884534581;11;1;3;-1,45807162725293;0;2;-0,14431114762239;0,892855769973374;1;1;-0,191583059679487;8;7;-1,18907258097508;1;1;1;1
"53";-0,217224073273859;14;0;0;0,0871244580636551;5;4;-0,0770883338489394;0,0165242661692412;0;1;0,879690384637608;1;0;0,167455905369922;0;0;1;1
